NAME,B25040_001E,B25040_002E,B25040_003E,B25040_004E,B25040_005E,B25040_006E,B25040_007E,B25040_008E,B25040_009E,B25040_010E,state,county,tract
Census Tract 1; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,000100
Census Tract 2; Bronx County; New York,1446,1084,19,231,112,0,0,0,0,0,36,Bronx,000200
Census Tract 4; Bronx County; New York,2246,1469,108,405,117,0,0,0,127,20,36,Bronx,000400
Census Tract 16; Bronx County; New York,2149,1126,28,453,393,0,0,0,0,149,36,Bronx,001600
Census Tract 19.01; Bronx County; New York,1092,562,12,368,61,0,0,0,21,68,36,Bronx,001901
Census Tract 19.02; Bronx County; New York,566,290,11,85,114,0,0,0,0,66,36,Bronx,001902
Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,001903
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,001904
Census Tract 20.01; Bronx County; New York,1726,1012,60,105,343,0,0,0,41,165,36,Bronx,002001
Census Tract 20.02; Bronx County; New York,1832,1242,92,51,428,0,0,0,0,19,36,Bronx,002002
Census Tract 23; Bronx County; New York,1917,1044,12,228,106,0,0,0,57,470,36,Bronx,002300
Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,002400
Census Tract 25; Bronx County; New York,1903,977,0,207,541,0,0,0,0,178,36,Bronx,002500
Census Tract 27.01; Bronx County; New York,1167,590,27,333,191,0,0,0,0,26,36,Bronx,002701
Census Tract 27.02; Bronx County; New York,1508,640,18,313,286,0,0,0,47,204,36,Bronx,002702
Census Tract 28; Bronx County; New York,2717,1406,0,599,606,0,0,0,106,0,36,Bronx,002800
Census Tract 31; Bronx County; New York,1104,636,0,354,17,0,0,0,1,96,36,Bronx,003100
Census Tract 33; Bronx County; New York,1225,736,48,160,61,0,0,0,0,220,36,Bronx,003300
Census Tract 35; Bronx County; New York,1483,548,100,318,229,0,0,0,45,243,36,Bronx,003500
Census Tract 37; Bronx County; New York,158,109,0,41,8,0,0,0,0,0,36,Bronx,003700
Census Tract 38; Bronx County; New York,377,271,0,71,35,0,0,0,0,0,36,Bronx,003800
Census Tract 39; Bronx County; New York,2299,972,9,587,462,0,0,0,0,269,36,Bronx,003900
Census Tract 40.01; Bronx County; New York,507,413,26,21,43,0,0,0,4,0,36,Bronx,004001
Census Tract 41; Bronx County; New York,2359,878,73,686,624,0,0,0,38,60,36,Bronx,004100
Census Tract 42; Bronx County; New York,2837,1960,59,397,300,0,0,0,44,77,36,Bronx,004200
Census Tract 43; Bronx County; New York,2099,1306,28,282,277,0,0,0,79,127,36,Bronx,004300
Census Tract 44; Bronx County; New York,1578,737,39,71,571,0,0,0,50,110,36,Bronx,004400
Census Tract 46; Bronx County; New York,658,372,9,122,120,0,0,0,0,35,36,Bronx,004600
Census Tract 48; Bronx County; New York,1504,608,10,44,703,63,0,0,60,16,36,Bronx,004800
Census Tract 50.01; Bronx County; New York,1343,533,42,106,654,0,0,0,0,8,36,Bronx,005001
Census Tract 50.02; Bronx County; New York,1888,717,73,123,904,57,0,0,14,0,36,Bronx,005002
Census Tract 51; Bronx County; New York,2621,1223,0,508,623,0,0,0,30,237,36,Bronx,005100
Census Tract 52; Bronx County; New York,788,328,0,104,331,0,0,0,19,6,36,Bronx,005200
Census Tract 53; Bronx County; New York,1595,746,0,614,72,0,0,0,16,147,36,Bronx,005300
Census Tract 54; Bronx County; New York,1702,826,13,141,676,0,0,0,37,9,36,Bronx,005400
Census Tract 56; Bronx County; New York,1025,560,4,28,387,0,0,0,36,10,36,Bronx,005600
Census Tract 59.02; Bronx County; New York,1286,627,20,300,198,0,0,0,18,123,36,Bronx,005902
Census Tract 60; Bronx County; New York,385,159,15,25,164,0,0,0,5,17,36,Bronx,006000
Census Tract 61; Bronx County; New York,1940,1194,97,162,394,0,0,0,77,16,36,Bronx,006100
Census Tract 62; Bronx County; New York,2489,914,0,94,1365,0,0,0,0,116,36,Bronx,006200
Census Tract 63.01; Bronx County; New York,2584,1653,88,349,431,0,0,0,0,63,36,Bronx,006301
Census Tract 63.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,006302
Census Tract 64; Bronx County; New York,1407,922,67,60,347,0,0,0,0,11,36,Bronx,006400
Census Tract 65; Bronx County; New York,2153,699,29,959,343,0,0,0,24,99,36,Bronx,006500
Census Tract 67; Bronx County; New York,2595,1649,0,460,252,0,0,0,6,228,36,Bronx,006700
Census Tract 68; Bronx County; New York,917,609,20,54,222,0,0,0,12,0,36,Bronx,006800
Census Tract 69; Bronx County; New York,2804,1892,133,380,266,0,0,0,133,0,36,Bronx,006900
Census Tract 70; Bronx County; New York,1373,803,39,31,485,0,0,0,0,15,36,Bronx,007000
Census Tract 71; Bronx County; New York,1386,700,27,507,63,0,0,50,13,26,36,Bronx,007100
Census Tract 72; Bronx County; New York,1623,695,49,69,793,0,0,0,0,17,36,Bronx,007200
Census Tract 73; Bronx County; New York,1552,812,78,383,21,0,0,0,83,175,36,Bronx,007300
Census Tract 74; Bronx County; New York,1380,886,53,323,88,0,0,0,11,19,36,Bronx,007400
Census Tract 75; Bronx County; New York,2449,1514,63,603,225,0,0,0,9,35,36,Bronx,007500
Census Tract 76; Bronx County; New York,1825,844,60,144,743,0,0,0,18,16,36,Bronx,007600
Census Tract 77; Bronx County; New York,591,354,0,156,81,0,0,0,0,0,36,Bronx,007700
Census Tract 78; Bronx County; New York,1981,1070,0,93,745,32,0,0,0,41,36,Bronx,007800
Census Tract 79; Bronx County; New York,2290,1112,32,354,505,0,0,0,132,155,36,Bronx,007900
Census Tract 83; Bronx County; New York,2239,983,37,552,567,0,0,0,78,22,36,Bronx,008300
Census Tract 84; Bronx County; New York,1008,836,11,57,91,0,0,0,13,0,36,Bronx,008400
Census Tract 85; Bronx County; New York,2110,945,151,377,352,0,0,0,230,55,36,Bronx,008500
Census Tract 86; Bronx County; New York,1539,1102,22,155,138,0,0,0,30,92,36,Bronx,008600
Census Tract 87; Bronx County; New York,2109,994,15,585,443,0,0,0,32,40,36,Bronx,008700
Census Tract 89; Bronx County; New York,1327,582,21,560,143,0,0,0,6,15,36,Bronx,008900
Census Tract 90; Bronx County; New York,1221,627,0,233,180,0,0,0,23,158,36,Bronx,009000
Census Tract 92; Bronx County; New York,1871,636,19,228,965,0,0,0,13,10,36,Bronx,009200
Census Tract 93.01; Bronx County; New York,1918,1117,69,266,207,0,0,0,0,259,36,Bronx,009301
Census Tract 93.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,009302
Census Tract 96; Bronx County; New York,835,411,27,202,195,0,0,0,0,0,36,Bronx,009600
Census Tract 98; Bronx County; New York,1680,1176,32,99,326,0,0,0,47,0,36,Bronx,009800
Census Tract 110; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,011000
Census Tract 115.02; Bronx County; New York,1507,1036,20,320,97,0,0,0,0,34,36,Bronx,011502
Census Tract 117.01; Bronx County; New York,492,300,13,88,52,0,0,0,22,17,36,Bronx,011701
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,011702
Census Tract 118; Bronx County; New York,1566,944,87,219,316,0,0,0,0,0,36,Bronx,011800
Census Tract 119; Bronx County; New York,1874,736,26,452,471,17,0,0,21,151,36,Bronx,011900
Census Tract 121.01; Bronx County; New York,1055,464,22,264,305,0,0,0,0,0,36,Bronx,012101
Census Tract 121.02; Bronx County; New York,548,203,0,180,14,0,0,0,0,151,36,Bronx,012102
Census Tract 123; Bronx County; New York,1710,1142,29,279,99,0,0,0,0,161,36,Bronx,012300
Census Tract 125; Bronx County; New York,1418,932,72,79,243,0,0,0,61,31,36,Bronx,012500
Census Tract 127.01; Bronx County; New York,775,294,0,113,249,0,33,0,44,42,36,Bronx,012701
Census Tract 129.01; Bronx County; New York,1653,668,74,501,282,0,0,0,18,110,36,Bronx,012901
Census Tract 130; Bronx County; New York,444,378,6,21,39,0,0,0,0,0,36,Bronx,013000
Census Tract 131; Bronx County; New York,2240,1016,25,647,278,59,0,79,83,53,36,Bronx,013100
Census Tract 132; Bronx County; New York,2609,2035,57,429,88,0,0,0,0,0,36,Bronx,013200
Census Tract 133; Bronx County; New York,2191,1244,0,466,206,0,0,0,162,113,36,Bronx,013300
Census Tract 135; Bronx County; New York,1485,723,0,480,131,0,0,0,0,151,36,Bronx,013500
Census Tract 138; Bronx County; New York,1250,793,11,342,83,0,0,0,0,21,36,Bronx,013800
Census Tract 141; Bronx County; New York,2957,1410,0,1024,266,0,0,24,0,233,36,Bronx,014100
Census Tract 143; Bronx County; New York,697,265,15,167,196,0,0,0,10,44,36,Bronx,014300
Census Tract 144; Bronx County; New York,2318,1123,5,27,835,0,0,0,167,161,36,Bronx,014400
Census Tract 145; Bronx County; New York,2381,1074,176,569,252,0,0,0,57,253,36,Bronx,014500
Census Tract 147.01; Bronx County; New York,2052,1390,72,151,36,0,0,0,0,403,36,Bronx,014701
Census Tract 147.02; Bronx County; New York,1881,1365,0,191,147,0,0,0,16,162,36,Bronx,014702
Census Tract 149; Bronx County; New York,1535,740,12,392,192,0,0,0,59,140,36,Bronx,014900
Census Tract 151; Bronx County; New York,2146,818,65,840,287,0,0,0,12,124,36,Bronx,015100
Census Tract 152; Bronx County; New York,976,558,22,148,223,0,0,0,8,17,36,Bronx,015200
Census Tract 153; Bronx County; New York,1749,1237,0,198,283,0,0,0,0,31,36,Bronx,015300
Census Tract 155; Bronx County; New York,1085,525,0,165,385,0,10,0,0,0,36,Bronx,015500
Census Tract 157; Bronx County; New York,2267,1160,50,624,283,0,0,0,19,131,36,Bronx,015700
Census Tract 158; Bronx County; New York,534,341,11,114,47,0,0,0,0,21,36,Bronx,015800
Census Tract 159; Bronx County; New York,929,473,11,233,152,0,0,0,11,49,36,Bronx,015900
Census Tract 160; Bronx County; New York,1543,1192,57,90,194,0,0,0,0,10,36,Bronx,016000
Census Tract 161; Bronx County; New York,2127,962,86,510,500,0,0,0,15,54,36,Bronx,016100
Census Tract 162; Bronx County; New York,497,301,10,72,97,0,0,0,0,17,36,Bronx,016200
Census Tract 163; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,016300
Census Tract 164; Bronx County; New York,391,224,6,36,121,0,0,0,0,4,36,Bronx,016400
Census Tract 165; Bronx County; New York,360,190,33,45,61,0,0,0,0,31,36,Bronx,016500
Census Tract 166; Bronx County; New York,833,701,10,27,81,0,0,0,14,0,36,Bronx,016600
Census Tract 167; Bronx County; New York,1123,723,10,177,127,0,0,0,0,86,36,Bronx,016700
Census Tract 169; Bronx County; New York,605,400,83,49,47,0,0,0,13,13,36,Bronx,016900
Census Tract 171; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,017100
Census Tract 173; Bronx County; New York,2226,1033,199,215,436,0,0,28,45,270,36,Bronx,017300
Census Tract 175; Bronx County; New York,3035,1807,0,431,557,0,0,0,90,150,36,Bronx,017500
Census Tract 177.01; Bronx County; New York,1397,800,56,66,265,0,0,0,0,210,36,Bronx,017701
Census Tract 177.02; Bronx County; New York,1681,625,79,522,313,0,0,0,0,142,36,Bronx,017702
Census Tract 179.01; Bronx County; New York,1689,883,91,351,219,0,0,0,0,145,36,Bronx,017901
Census Tract 179.02; Bronx County; New York,1305,610,0,73,340,0,0,0,62,220,36,Bronx,017902
Census Tract 181.01; Bronx County; New York,1048,551,20,110,215,0,0,0,83,69,36,Bronx,018101
Census Tract 181.02; Bronx County; New York,2161,1151,49,350,463,0,0,0,0,148,36,Bronx,018102
Census Tract 183.01; Bronx County; New York,2017,996,36,347,471,0,0,0,22,145,36,Bronx,018301
Census Tract 183.02; Bronx County; New York,1467,920,139,139,251,0,0,0,0,18,36,Bronx,018302
Census Tract 184; Bronx County; New York,1376,608,0,118,644,0,0,0,0,6,36,Bronx,018400
Census Tract 185.01; Bronx County; New York,1381,417,0,702,176,0,0,0,0,86,36,Bronx,018501
Census Tract 185.02; Bronx County; New York,2156,1113,24,285,193,0,0,0,72,469,36,Bronx,018502
Census Tract 189; Bronx County; New York,2925,1130,87,839,699,0,0,0,29,141,36,Bronx,018900
Census Tract 193; Bronx County; New York,2418,783,0,492,637,0,0,0,113,393,36,Bronx,019300
Census Tract 194; Bronx County; New York,686,350,29,23,243,0,0,9,0,32,36,Bronx,019400
Census Tract 195; Bronx County; New York,2672,1553,47,404,475,0,0,0,64,129,36,Bronx,019500
Census Tract 197; Bronx County; New York,2462,1490,18,497,179,0,0,0,28,250,36,Bronx,019700
Census Tract 199; Bronx County; New York,3162,1632,39,667,652,0,0,0,72,100,36,Bronx,019900
Census Tract 200; Bronx County; New York,1467,570,65,238,539,0,0,0,7,48,36,Bronx,020000
Census Tract 201; Bronx County; New York,1439,525,24,222,393,0,0,0,0,275,36,Bronx,020100
Census Tract 202; Bronx County; New York,1000,385,57,142,398,0,0,0,18,0,36,Bronx,020200
Census Tract 204; Bronx County; New York,987,223,21,137,545,0,0,0,0,61,36,Bronx,020400
Census Tract 205.01; Bronx County; New York,2652,982,0,834,686,0,0,0,38,112,36,Bronx,020501
Census Tract 205.02; Bronx County; New York,1016,503,8,198,197,0,0,0,12,98,36,Bronx,020502
Census Tract 206.01; Bronx County; New York,1028,412,85,160,353,0,0,0,0,18,36,Bronx,020601
Census Tract 209; Bronx County; New York,1989,1086,63,557,177,0,0,0,77,29,36,Bronx,020900
Census Tract 210.01; Bronx County; New York,3570,1642,0,672,940,0,0,0,104,212,36,Bronx,021001
Census Tract 210.02; Bronx County; New York,3046,1829,61,507,481,0,0,0,68,100,36,Bronx,021002
Census Tract 211; Bronx County; New York,2057,832,67,514,417,0,0,0,64,163,36,Bronx,021100
Census Tract 212; Bronx County; New York,2356,1093,0,413,522,13,0,0,135,180,36,Bronx,021200
Census Tract 213.01; Bronx County; New York,450,187,53,88,84,0,0,0,14,24,36,Bronx,021301
Census Tract 213.02; Bronx County; New York,2361,1481,237,364,207,0,0,0,0,72,36,Bronx,021302
Census Tract 215.01; Bronx County; New York,1314,863,0,196,132,0,0,0,23,100,36,Bronx,021501
Census Tract 215.02; Bronx County; New York,2228,843,145,707,508,0,0,0,25,0,36,Bronx,021502
Census Tract 216.01; Bronx County; New York,1564,815,12,73,612,0,0,0,19,33,36,Bronx,021601
Census Tract 216.02; Bronx County; New York,2389,1586,13,167,479,0,0,0,77,67,36,Bronx,021602
Census Tract 217; Bronx County; New York,1839,678,29,617,306,0,0,0,84,125,36,Bronx,021700
Census Tract 218; Bronx County; New York,2294,1083,14,280,823,0,0,0,64,30,36,Bronx,021800
Census Tract 219; Bronx County; New York,419,257,17,122,23,0,0,0,0,0,36,Bronx,021900
Census Tract 220; Bronx County; New York,634,343,43,125,100,0,0,0,0,23,36,Bronx,022000
Census Tract 221.01; Bronx County; New York,1301,618,0,398,162,0,0,0,0,123,36,Bronx,022101
Census Tract 221.02; Bronx County; New York,1641,883,80,226,293,0,0,0,97,62,36,Bronx,022102
Census Tract 222; Bronx County; New York,1110,465,0,59,542,10,0,1,24,9,36,Bronx,022200
Census Tract 223; Bronx County; New York,2154,1407,40,270,370,0,0,0,0,67,36,Bronx,022300
Census Tract 224.01; Bronx County; New York,967,384,12,110,429,0,0,0,17,15,36,Bronx,022401
Census Tract 224.03; Bronx County; New York,1106,488,40,70,475,0,0,0,24,9,36,Bronx,022403
Census Tract 224.04; Bronx County; New York,1933,1288,11,124,437,0,0,0,17,56,36,Bronx,022404
Census Tract 225; Bronx County; New York,2336,1010,25,412,780,0,0,0,23,86,36,Bronx,022500
Census Tract 227.01; Bronx County; New York,2045,868,0,574,514,0,0,0,0,89,36,Bronx,022701
Census Tract 227.02; Bronx County; New York,548,210,112,131,95,0,0,0,0,0,36,Bronx,022702
Census Tract 227.03; Bronx County; New York,708,432,13,16,235,0,0,0,12,0,36,Bronx,022703
Census Tract 228; Bronx County; New York,2317,1394,85,52,581,0,0,51,154,0,36,Bronx,022800
Census Tract 229.01; Bronx County; New York,1964,950,19,122,668,0,0,0,124,81,36,Bronx,022901
Census Tract 229.02; Bronx County; New York,1157,526,12,192,427,0,0,0,0,0,36,Bronx,022902
Census Tract 230; Bronx County; New York,963,508,44,149,221,0,0,0,0,41,36,Bronx,023000
Census Tract 231; Bronx County; New York,410,137,0,143,71,0,0,0,0,59,36,Bronx,023100
Census Tract 232; Bronx County; New York,862,414,21,52,332,0,0,0,31,12,36,Bronx,023200
Census Tract 233.01; Bronx County; New York,1648,954,0,198,452,0,0,0,20,24,36,Bronx,023301
Census Tract 233.02; Bronx County; New York,1037,427,0,11,436,0,0,0,20,143,36,Bronx,023302
Census Tract 235.01; Bronx County; New York,1244,216,106,333,323,0,0,0,14,252,36,Bronx,023501
Census Tract 235.02; Bronx County; New York,1607,849,152,131,314,0,0,0,43,118,36,Bronx,023502
Census Tract 236; Bronx County; New York,557,375,0,26,156,0,0,0,0,0,36,Bronx,023600
Census Tract 237.02; Bronx County; New York,323,71,0,24,210,0,0,0,3,15,36,Bronx,023702
Census Tract 237.03; Bronx County; New York,1804,459,26,469,808,0,0,0,24,18,36,Bronx,023703
Census Tract 237.04; Bronx County; New York,1452,514,25,258,320,0,0,0,0,335,36,Bronx,023704
Census Tract 238; Bronx County; New York,743,415,35,57,232,0,0,0,0,4,36,Bronx,023800
Census Tract 239; Bronx County; New York,2663,1454,38,310,641,0,0,0,0,220,36,Bronx,023900
Census Tract 240; Bronx County; New York,1351,665,17,100,521,0,37,0,11,0,36,Bronx,024000
Census Tract 241; Bronx County; New York,2350,1314,0,566,133,0,0,0,0,337,36,Bronx,024100
Census Tract 243; Bronx County; New York,1985,716,89,736,309,0,0,0,0,135,36,Bronx,024300
Census Tract 244; Bronx County; New York,831,567,13,31,216,0,0,0,4,0,36,Bronx,024400
Census Tract 245.01; Bronx County; New York,1591,989,20,112,330,0,0,0,51,89,36,Bronx,024501
Census Tract 245.02; Bronx County; New York,1259,539,0,259,263,0,0,0,51,147,36,Bronx,024502
Census Tract 246; Bronx County; New York,793,572,9,48,164,0,0,0,0,0,36,Bronx,024600
Census Tract 247; Bronx County; New York,742,395,58,152,104,0,0,0,0,33,36,Bronx,024700
Census Tract 248; Bronx County; New York,1210,789,34,112,266,0,0,0,0,9,36,Bronx,024800
Census Tract 249; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,024900
Census Tract 250; Bronx County; New York,936,546,46,68,273,0,0,3,0,0,36,Bronx,025000
Census Tract 251; Bronx County; New York,2313,877,101,513,758,0,0,0,0,64,36,Bronx,025100
Census Tract 252; Bronx County; New York,895,568,0,59,228,0,0,0,40,0,36,Bronx,025200
Census Tract 253; Bronx County; New York,1856,846,41,267,649,0,0,0,41,12,36,Bronx,025300
Census Tract 254; Bronx County; New York,764,449,14,42,259,0,0,0,0,0,36,Bronx,025400
Census Tract 255; Bronx County; New York,2357,964,17,439,773,0,0,0,164,0,36,Bronx,025500
Census Tract 256; Bronx County; New York,611,304,31,98,170,0,0,0,4,4,36,Bronx,025600
Census Tract 257; Bronx County; New York,684,290,9,23,301,0,0,0,34,27,36,Bronx,025700
Census Tract 261; Bronx County; New York,1154,690,25,32,334,0,0,0,0,73,36,Bronx,026100
Census Tract 263; Bronx County; New York,2178,605,67,265,1241,0,0,0,0,0,36,Bronx,026300
Census Tract 264; Bronx County; New York,2165,1050,202,154,672,0,0,0,0,87,36,Bronx,026400
Census Tract 265; Bronx County; New York,2341,832,0,170,1233,0,0,0,94,12,36,Bronx,026500
Census Tract 266.01; Bronx County; New York,1359,606,133,156,402,0,0,0,38,24,36,Bronx,026601
Census Tract 266.02; Bronx County; New York,2459,1309,146,388,507,0,0,0,89,20,36,Bronx,026602
Census Tract 267.01; Bronx County; New York,1294,365,21,111,627,0,0,0,0,170,36,Bronx,026701
Census Tract 267.02; Bronx County; New York,2651,909,143,161,1421,0,0,0,17,0,36,Bronx,026702
Census Tract 269; Bronx County; New York,1905,952,42,196,467,0,0,114,60,74,36,Bronx,026900
Census Tract 273; Bronx County; New York,2954,1323,52,380,1139,0,0,0,0,60,36,Bronx,027300
Census Tract 274.01; Bronx County; New York,1783,1334,46,136,267,0,0,0,0,0,36,Bronx,027401
Census Tract 274.02; Bronx County; New York,1288,989,100,60,101,0,0,0,0,38,36,Bronx,027402
Census Tract 276; Bronx County; New York,18,3,0,7,0,0,0,0,0,8,36,Bronx,027600
Census Tract 277; Bronx County; New York,1789,836,0,254,660,0,0,0,39,0,36,Bronx,027700
Census Tract 279; Bronx County; New York,2978,1875,138,357,385,0,0,0,114,109,36,Bronx,027900
Census Tract 281; Bronx County; New York,1685,911,15,127,540,0,0,0,28,64,36,Bronx,028100
Census Tract 283; Bronx County; New York,1037,768,0,112,96,0,0,0,0,61,36,Bronx,028300
Census Tract 284; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,36,Bronx,028400
Census Tract 285; Bronx County; New York,1781,1057,54,180,411,0,0,0,34,45,36,Bronx,028500
Census Tract 286; Bronx County; New York,500,284,43,0,173,0,0,0,0,0,36,Bronx,028600
Census Tract 287; Bronx County; New York,1247,822,37,114,209,0,0,0,18,47,36,Bronx,028700
Census Tract 288; Bronx County; New York,1026,679,0,141,206,0,0,0,0,0,36,Bronx,028800
Census Tract 289; Bronx County; New York,1942,704,56,468,421,0,0,0,150,143,36,Bronx,028900
Census Tract 293.01; Bronx County; New York,926,631,31,134,122,0,0,0,8,0,36,Bronx,029301
Census Tract 293.02; Bronx County; New York,2595,1458,28,586,497,0,0,0,0,26,36,Bronx,029302
Census Tract 295; Bronx County; New York,2098,1172,104,253,493,0,0,0,48,28,36,Bronx,029500
Census Tract 296; Bronx County; New York,1031,408,10,310,239,0,0,0,0,64,36,Bronx,029600
Census Tract 297; Bronx County; New York,1856,1177,72,199,327,0,0,0,9,72,36,Bronx,029700
Census Tract 300; Bronx County; New York,2494,1686,81,291,417,0,0,0,19,0,36,Bronx,030000
Census Tract 301; Bronx County; New York,659,374,16,144,125,0,0,0,0,0,36,Bronx,030100
Census Tract 302.01; Bronx County; New York,1656,804,0,608,73,0,0,0,37,134,36,Bronx,030201
Census Tract 302.02; Bronx County; New York,2634,960,0,899,166,0,0,0,16,593,36,Bronx,030202
Census Tract 307.01; Bronx County; New York,2413,1788,30,152,345,0,0,0,9,89,36,Bronx,030701
Census Tract 309; Bronx County; New York,1406,931,61,168,155,0,0,0,56,35,36,Bronx,030900
Census Tract 310; Bronx County; New York,1266,915,58,33,260,0,0,0,0,0,36,Bronx,031000
Census Tract 312; Bronx County; New York,560,442,0,41,77,0,0,0,0,0,36,Bronx,031200
Census Tract 314; Bronx County; New York,597,316,15,86,172,0,0,0,8,0,36,Bronx,031400
Census Tract 316; Bronx County; New York,716,500,25,44,107,0,0,0,3,37,36,Bronx,031600
Census Tract 318; Bronx County; New York,572,433,24,67,48,0,0,0,0,0,36,Bronx,031800
Census Tract 319; Bronx County; New York,4,0,0,0,4,0,0,0,0,0,36,Bronx,031900
Census Tract 323; Bronx County; New York,2725,1764,90,285,544,0,0,0,20,22,36,Bronx,032300
Census Tract 324; Bronx County; New York,1256,684,1,129,303,0,0,0,16,123,36,Bronx,032400
Census Tract 326; Bronx County; New York,1061,632,26,36,367,0,0,0,0,0,36,Bronx,032600
Census Tract 328; Bronx County; New York,1463,628,50,145,615,0,0,0,0,25,36,Bronx,032800
Census Tract 330; Bronx County; New York,2164,1180,37,235,618,0,0,0,7,87,36,Bronx,033000
Census Tract 332.01; Bronx County; New York,2311,807,42,204,1145,0,0,0,100,13,36,Bronx,033201
Census Tract 332.02; Bronx County; New York,1481,631,176,94,528,0,0,0,36,16,36,Bronx,033202
Census Tract 334; Bronx County; New York,4,0,0,4,0,0,0,0,0,0,36,Bronx,033400
Census Tract 335; Bronx County; New York,761,329,86,57,205,0,0,0,79,5,36,Bronx,033500
Census Tract 336.01; Bronx County; New York,2178,1247,11,313,455,0,0,0,12,140,36,Bronx,033601
Census Tract 336.02; Bronx County; New York,572,370,0,83,119,0,0,0,0,0,36,Bronx,033602
Census Tract 337; Bronx County; New York,1041,682,75,72,201,0,0,0,0,11,36,Bronx,033700
Census Tract 338.01; Bronx County; New York,893,265,0,356,272,0,0,0,0,0,36,Bronx,033801
Census Tract 338.02; Bronx County; New York,531,180,0,106,245,0,0,0,0,0,36,Bronx,033802
Census Tract 340; Bronx County; New York,1825,793,73,212,694,0,0,0,40,13,36,Bronx,034000
Census Tract 342; Bronx County; New York,637,360,35,20,222,0,0,0,0,0,36,Bronx,034200
Census Tract 343; Bronx County; New York,576,309,0,73,194,0,0,0,0,0,36,Bronx,034300
Census Tract 344; Bronx County; New York,621,432,0,44,145,0,0,0,0,0,36,Bronx,034400
Census Tract 345; Bronx County; New York,1608,1101,54,211,242,0,0,0,0,0,36,Bronx,034500
Census Tract 348; Bronx County; New York,2163,1210,0,19,787,0,0,0,0,147,36,Bronx,034800
Census Tract 350; Bronx County; New York,757,372,87,147,151,0,0,0,0,0,36,Bronx,035000
Census Tract 351; Bronx County; New York,1330,755,0,84,351,0,0,0,51,89,36,Bronx,035100
Census Tract 356; Bronx County; New York,676,447,24,111,94,0,0,0,0,0,36,Bronx,035600
Census Tract 358; Bronx County; New York,2700,1693,119,330,558,0,0,0,0,0,36,Bronx,035800
Census Tract 359; Bronx County; New York,1462,786,39,270,315,0,0,0,0,52,36,Bronx,035900
Census Tract 360; Bronx County; New York,973,600,43,60,256,0,0,14,0,0,36,Bronx,036000
Census Tract 361; Bronx County; New York,2065,1212,87,418,140,0,0,0,68,140,36,Bronx,036100
Census Tract 363; Bronx County; New York,2431,1240,81,471,545,0,0,0,0,94,36,Bronx,036300
Census Tract 364; Bronx County; New York,873,570,21,53,203,0,0,0,8,18,36,Bronx,036400
Census Tract 365.01; Bronx County; New York,1445,785,32,237,246,0,0,0,0,145,36,Bronx,036501
Census Tract 365.02; Bronx County; New York,761,403,10,131,207,0,0,0,10,0,36,Bronx,036502
Census Tract 367; Bronx County; New York,767,364,83,163,157,0,0,0,0,0,36,Bronx,036700
Census Tract 368; Bronx County; New York,637,273,5,68,285,6,0,0,0,0,36,Bronx,036800
Census Tract 369.01; Bronx County; New York,725,307,11,190,137,0,0,0,22,58,36,Bronx,036901
Census Tract 369.02; Bronx County; New York,849,493,26,191,93,0,0,0,27,19,36,Bronx,036902
Census Tract 370; Bronx County; New York,644,327,44,82,191,0,0,0,0,0,36,Bronx,037000
Census Tract 371; Bronx County; New York,1720,803,21,426,409,0,0,0,16,45,36,Bronx,037100
Census Tract 372; Bronx County; New York,849,400,41,148,236,0,0,0,0,24,36,Bronx,037200
Census Tract 373; Bronx County; New York,2255,790,93,516,670,0,0,0,61,125,36,Bronx,037300
Census Tract 374; Bronx County; New York,1530,719,43,165,540,0,0,0,8,55,36,Bronx,037400
Census Tract 375.04; Bronx County; New York,1457,691,100,305,248,0,0,0,51,62,36,Bronx,037504
Census Tract 376; Bronx County; New York,754,203,66,48,427,0,0,0,10,0,36,Bronx,037600
Census Tract 378; Bronx County; New York,1164,503,0,245,382,0,0,0,0,34,36,Bronx,037800
Census Tract 379; Bronx County; New York,2046,1135,74,400,339,0,0,0,21,77,36,Bronx,037900
Census Tract 380; Bronx County; New York,1975,970,99,512,340,0,0,0,22,32,36,Bronx,038000
Census Tract 381; Bronx County; New York,2614,993,12,307,1213,0,0,0,20,69,36,Bronx,038100
Census Tract 382; Bronx County; New York,960,568,31,67,274,0,0,20,0,0,36,Bronx,038200
Census Tract 383.01; Bronx County; New York,1550,596,28,89,727,0,0,0,18,92,36,Bronx,038301
Census Tract 383.03; Bronx County; New York,1169,472,71,270,302,0,0,0,0,54,36,Bronx,038303
